Mode,Stratum,N_networks,N_evaluations,% Improved,% Unchanged,% Harmed
Best Fixed Parameter,"Weak [0, 200)",500,500,6.0,88.6,5.4
Best Fixed Parameter,"Low-mid [200, 350)",1235,1235,38.6,47.7,13.7
Best Fixed Parameter,"High-mid [350, 450)",256,256,79.3,0.4,20.3
Best Fixed Parameter,"Near-perfect [450, 475)",102,102,54.9,27.5,17.6
Best Fixed Parameter,Perfect [≥475],769,769,0.0,100.0,0.0
Active Plasticity Only (η≠0),"Weak [0, 200)",500,120000,5.1,90.6,4.3
Active Plasticity Only (η≠0),"Low-mid [200, 350)",1235,296400,19.7,50.3,30.0
Active Plasticity Only (η≠0),"High-mid [350, 450)",256,61440,35.9,6.2,57.9
Active Plasticity Only (η≠0),"Near-perfect [450, 475)",102,24480,27.3,11.2,61.6
Active Plasticity Only (η≠0),Perfect [≥475],769,184560,6.0,54.5,39.4
Per-Network Oracle,"Weak [0, 200)",500,500,24.2,75.8,0.0
Per-Network Oracle,"Low-mid [200, 350)",1235,1235,54.0,46.0,0.0
Per-Network Oracle,"High-mid [350, 450)",256,256,99.2,0.8,0.0
Per-Network Oracle,"Near-perfect [450, 475)",102,102,98.0,2.0,0.0
Per-Network Oracle,Perfect [≥475],769,769,22.2,77.8,0.0
