Stratum,Source,SS,df,MS,F,p,partial_eta2
"Weak [0, 200)",eta,0.220658214612,29,0.007608903952137931,30.420557991499525,1.1102230246251565e-16,0.0073125010127005115
"Weak [0, 200)",decay,0.009928281782666668,7,0.0014183259689523812,5.670497046718869,1.4443998643809408e-06,0.00033133206082769904
"Weak [0, 200)",eta x decay,0.03225908367733321,203,0.00015891174225287296,0.6353324869313733,0.9999873567944884,0.001075766120629753
"Weak [0, 200)",Residual,29.954819946520008,119760,0.00025012374704843027,,,
"Low-mid [200, 350)",eta,593.76975021953,29,20.474818973087242,1461.49722910097,1.1102230246251565e-16,0.12519345284721822
"Low-mid [200, 350)",decay,29.232337609178906,7,4.176048229882701,298.0872712275468,1.1102230246251565e-16,0.006996260216691275
"Low-mid [200, 350)",eta x decay,82.32548816286612,203,0.40554427666436516,28.947842586632543,1.1102230246251565e-16,0.019455972229630396
"Low-mid [200, 350)",Residual,4149.048158510459,296160,0.014009481896645255,,,
"High-mid [350, 450)",eta,1025.621236720105,29,35.36624954207258,983.83257583684,1.1102230246251565e-16,0.3179625624401624
"High-mid [350, 450)",decay,137.60168305577275,7,19.65738329368182,546.8370067634174,1.1102230246251565e-16,0.05886490964675657
"High-mid [350, 450)",eta x decay,143.36316502760639,203,0.7062224878207211,19.64598164360075,1.1102230246251565e-16,0.06117883749992453
"High-mid [350, 450)",Residual,2199.9825225687496,61200,0.03594742683935866,,,
"Near-perfect [450, 475)",eta,502.5182293735719,29,17.328214805985237,479.2489073191247,1.1102230246251565e-16,0.364417084155943
"Near-perfect [450, 475)",decay,87.7881474627647,7,12.5411639232521,346.8527585803357,1.1102230246251565e-16,0.09104440168776666
"Near-perfect [450, 475)",eta x decay,52.41914772542151,203,0.25822240258828333,7.1416938023534415,1.1102230246251565e-16,0.05643352156918001
"Near-perfect [450, 475)",Residual,876.4462901892157,24240,0.03615702517282243,,,
Perfect [≥475],eta,4182.827705109707,29,144.23543810723126,3747.57752653134,1.1102230246251565e-16,0.370920961233999
Perfect [≥475],decay,1303.2770993376544,7,186.18244276252204,4837.459832949016,1.1102230246251565e-16,0.15520155130940147
Perfect [≥475],eta x decay,1223.435382127307,203,6.026775281415306,156.58986375661203,1.1102230246251565e-16,0.14709210321673544
Perfect [≥475],Residual,7094.042955405299,184320,0.03848764624243326,,,
