Stratum,Feature,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
"Low-mid [200, 350)",Neuron count,1235,-0.03775559131855458,0.18485374826261902,-0.10618331632547234,0.00018523298845285843
"Low-mid [200, 350)",Connection count,1235,0.30614913843465236,3.290130662030697e-28,0.3210409138088872,5.287660307586538e-31
"Low-mid [200, 350)",Network density,1235,0.12780221661507218,6.62991891013694e-06,0.36248732606766076,1.1970468941588019e-39
"Low-mid [200, 350)",Max axon length,1235,-9.691277316791901e-05,0.9972853507271218,0.004657264128100363,0.8701221207465315
"Low-mid [200, 350)",Self-connect fraction,1235,0.007464663004848844,0.7932709970454102,0.0075277579449508645,0.7915637094984189
"Low-mid [200, 350)",Diffusion rate,1235,0.0691648090172146,0.015053918594857357,0.07109180315177285,0.012455100975448975
"Low-mid [200, 350)",Division threshold,1235,0.026570697148843577,0.3508294316706895,0.021900486406462052,0.4419217001230299
"Low-mid [200, 350)",Axon growth threshold,1235,0.0012953436382072939,0.9637282045625171,0.00036569412408108044,0.9897567066632619
"Low-mid [200, 350)",Axon connect threshold,1235,-0.015444163431854107,0.5876598732437581,-0.03446981120049387,0.2260906511650049
"Low-mid [200, 350)",Weight adj. rate,1235,-0.03830819324604181,0.1785029244507634,-0.05500262222314251,0.05330535172774524
"High-mid [350, 450)",Neuron count,256,-0.007352845581864175,0.9068034926373655,0.0003373293668944372,0.9957146969365938
"High-mid [350, 450)",Connection count,256,0.14595582648945957,0.019470918380017382,0.18879446458956448,0.0024193277297409935
"High-mid [350, 450)",Network density,256,0.01868444625282656,0.7660740424888347,0.19500989073838135,0.0017182971065405077
"High-mid [350, 450)",Max axon length,256,-0.014388351506092599,0.818792078723234,0.019494088943729778,0.756250318872162
"High-mid [350, 450)",Self-connect fraction,256,-0.0008567377591351122,0.9891166151787152,-0.039587590669274586,0.5283354967782802
"High-mid [350, 450)",Diffusion rate,256,0.012462978891110095,0.8427012115928525,-0.06518990012725323,0.2987863206076425
"High-mid [350, 450)",Division threshold,256,-0.058712674510825374,0.34947252842609133,-0.05417190898653961,0.38805895070288277
"High-mid [350, 450)",Axon growth threshold,256,0.04644951531799135,0.4593274822661537,0.02621529429357923,0.676339209928023
"High-mid [350, 450)",Axon connect threshold,256,0.010719670969025255,0.8644751714544172,-0.013388032275792456,0.831194543791679
"High-mid [350, 450)",Weight adj. rate,256,0.043903573970246045,0.4843290853287866,0.07843595166807868,0.21102153127318166
"Near-perfect [450, 475)",Neuron count,102,-0.046814642173857404,0.6403325321993945,-0.01202204007495117,0.9045429031958316
"Near-perfect [450, 475)",Connection count,102,-0.03819549044938792,0.7030990617730141,0.07784896750565166,0.43672977170151683
"Near-perfect [450, 475)",Network density,102,0.09091677317330174,0.36346532684351956,0.10537580907205228,0.2918531034444099
"Near-perfect [450, 475)",Max axon length,102,-0.03480890089348361,0.7283470036090053,-0.11128430879761878,0.2654819574585317
"Near-perfect [450, 475)",Self-connect fraction,102,-0.11612432569997665,0.24512136716486568,-0.07041074822328577,0.4819167733592271
"Near-perfect [450, 475)",Diffusion rate,102,-0.18183532366092828,0.06738558039613887,-0.19565954947174222,0.048746404196543226
"Near-perfect [450, 475)",Division threshold,102,-0.019499880361729862,0.8457605684150017,-0.053520537418358494,0.5931670034461419
"Near-perfect [450, 475)",Axon growth threshold,102,0.06880172119221684,0.49201070524134277,-0.011557948070060723,0.9082114983120455
"Near-perfect [450, 475)",Axon connect threshold,102,-0.09254882142471588,0.35488001758132554,-0.3184881932965265,0.0011050466668764863
"Near-perfect [450, 475)",Weight adj. rate,102,0.080309554649839,0.42232875428104816,0.1592893332356216,0.10978847534218866
