η,decay,mean Δfit,SE,t,p,harm %
-5e-1,0,-0.6466,0.0107,-60.27,0.0000,91.3%
-5e-1,1e-05,-0.6454,0.0108,-60.00,0.0000,91.2%
-5e-1,1e-04,-0.6381,0.0110,-58.11,0.0000,90.6%
-5e-1,1e-03,-0.5509,0.0137,-40.35,0.0000,79.5%
-5e-1,1e-02,-0.3044,0.0153,-19.86,0.0000,42.7%
-5e-1,2e-02,-0.2333,0.0142,-16.41,0.0000,36.0%
-5e-1,5e-02,-0.1564,0.0118,-13.28,0.0000,30.2%
-5e-1,1e-01,-0.1205,0.0101,-11.98,0.0000,26.5%
-4e-1,0,-0.6056,0.0111,-54.69,0.0000,90.1%
-4e-1,1e-05,-0.6042,0.0111,-54.41,0.0000,89.9%
-4e-1,1e-04,-0.5956,0.0114,-52.41,0.0000,89.3%
-4e-1,1e-03,-0.5051,0.0140,-36.13,0.0000,74.6%
-4e-1,1e-02,-0.2705,0.0149,-18.21,0.0000,38.9%
-4e-1,2e-02,-0.2008,0.0135,-14.91,0.0000,32.5%
-4e-1,5e-02,-0.1336,0.0110,-12.10,0.0000,27.0%
-4e-1,1e-01,-0.1041,0.0094,-11.13,0.0000,23.7%
-3e-1,0,-0.6063,0.0101,-60.33,0.0000,96.1%
-3e-1,1e-05,-0.6047,0.0101,-59.80,0.0000,96.1%
-3e-1,1e-04,-0.5939,0.0105,-56.39,0.0000,95.3%
-3e-1,1e-03,-0.5033,0.0135,-37.40,0.0000,74.8%
-3e-1,1e-02,-0.2689,0.0143,-18.86,0.0000,36.8%
-3e-1,2e-02,-0.1605,0.0124,-12.98,0.0000,28.7%
-3e-1,5e-02,-0.1114,0.0101,-11.05,0.0000,23.5%
-3e-1,1e-01,-0.0874,0.0085,-10.32,0.0000,20.3%
-2e-1,0,-0.4901,0.0119,-41.21,0.0000,88.9%
-2e-1,1e-05,-0.4889,0.0119,-40.97,0.0000,88.4%
-2e-1,1e-04,-0.4794,0.0122,-39.28,0.0000,84.8%
-2e-1,1e-03,-0.4168,0.0134,-31.09,0.0000,66.2%
-2e-1,1e-02,-0.2003,0.0128,-15.68,0.0000,29.9%
-2e-1,2e-02,-0.1219,0.0109,-11.17,0.0000,23.3%
-2e-1,5e-02,-0.0841,0.0086,-9.83,0.0000,20.3%
-2e-1,1e-01,-0.0639,0.0070,-9.12,0.0000,18.3%
-1e-1,0,-0.4126,0.0124,-33.30,0.0000,76.5%
-1e-1,1e-05,-0.4117,0.0124,-33.19,0.0000,75.9%
-1e-1,1e-04,-0.4050,0.0125,-32.34,0.0000,73.5%
-1e-1,1e-03,-0.3530,0.0131,-26.95,0.0000,60.5%
-1e-1,1e-02,-0.1599,0.0117,-13.69,0.0000,25.4%
-1e-1,2e-02,-0.0992,0.0098,-10.12,0.0000,21.2%
-1e-1,5e-02,-0.0664,0.0075,-8.87,0.0000,17.9%
-1e-1,1e-01,-0.0507,0.0061,-8.31,0.0000,16.9%
-1e-1,0,-0.3125,0.0121,-25.77,0.0000,62.9%
-1e-1,1e-05,-0.3119,0.0121,-25.72,0.0000,62.4%
-1e-1,1e-04,-0.3072,0.0122,-25.26,0.0000,61.0%
-1e-1,1e-03,-0.2651,0.0123,-21.51,0.0000,49.2%
-1e-1,1e-02,-0.1168,0.0101,-11.60,0.0000,20.7%
-1e-1,2e-02,-0.0683,0.0079,-8.66,0.0000,17.6%
-1e-1,5e-02,-0.0472,0.0060,-7.81,0.0000,15.5%
-1e-1,1e-01,-0.0355,0.0050,-7.14,0.0000,13.4%
-7e-2,0,-0.2361,0.0114,-20.77,0.0000,50.6%
-7e-2,1e-05,-0.2358,0.0114,-20.74,0.0000,50.6%
-7e-2,1e-04,-0.2321,0.0114,-20.42,0.0000,49.3%
-7e-2,1e-03,-0.2021,0.0112,-18.04,0.0000,39.5%
-7e-2,1e-02,-0.0889,0.0086,-10.31,0.0000,17.3%
-7e-2,2e-02,-0.0515,0.0067,-7.70,0.0000,15.5%
-7e-2,5e-02,-0.0350,0.0050,-6.97,0.0000,13.1%
-7e-2,1e-01,-0.0246,0.0040,-6.12,0.0000,12.0%
-5e-2,0,-0.1535,0.0101,-15.19,0.0000,36.9%
-5e-2,1e-05,-0.1532,0.0101,-15.17,0.0000,36.7%
-5e-2,1e-04,-0.1508,0.0101,-14.97,0.0000,36.0%
-5e-2,1e-03,-0.1294,0.0097,-13.29,0.0000,30.4%
-5e-2,1e-02,-0.0509,0.0068,-7.53,0.0000,14.8%
-5e-2,2e-02,-0.0367,0.0055,-6.71,0.0000,13.1%
-5e-2,5e-02,-0.0244,0.0042,-5.87,0.0000,11.2%
-5e-2,1e-01,-0.0163,0.0032,-5.02,0.0000,9.4%
-4e-2,0,-0.1238,0.0092,-13.42,0.0000,32.0%
-4e-2,1e-05,-0.1236,0.0092,-13.40,0.0000,32.0%
-4e-2,1e-04,-0.1215,0.0092,-13.23,0.0000,30.9%
-4e-2,1e-03,-0.1033,0.0088,-11.70,0.0000,25.4%
-4e-2,1e-02,-0.0410,0.0060,-6.84,0.0000,13.1%
-4e-2,2e-02,-0.0291,0.0047,-6.24,0.0000,12.1%
